" VARIABLES = ""X"""," ""Y"""," ""U"""," ""V"""," ""T""",,,
 ZONE I= 76, J= 76, F=POINT ,,,,-1116988741,-1116988702
0.16,2.53E-01,-2.65E+15,1.48E+14,9.86E-03,,NO,NO
0.1733,2.53E-01,-2.37E+15,4.04E+14,-2.64E-03,,NO,NO
0.1867,2.53E-01,-2.08E+15,6.00E+14,1.05E-03,,NO,NO
0.2,2.53E-01,-1.80E+15,7.41E+14,-1.50E-04,,NO,NO
0.2133,2.53E-01,-1.54E+15,8.37E+14,5.02E-05,,NO,NO
0.2267,2.53E-01,-1.29E+15,8.95E+14,0.00E+00,,NO,NO
0.24,2.53E-01,-1.07E+15,9.22E+14,0.00E+00,,NO,NO
0.2533,2.53E-01,-8.61E+14,9.25E+14,0.00E+00,,NO,NO
0.2667,2.53E-01,-6.78E+14,9.09E+14,0.00E+00,,NO,NO
0.28,2.53E-01,-5.15E+14,8.78E+14,0.00E+00,,NO,NO
0.2933,2.53E-01,-3.72E+14,8.37E+14,0.00E+00,,NO,NO
0.3067,2.53E-01,-2.46E+14,7.89E+14,0.00E+00,,NO,NO
0.32,2.53E-01,-1.37E+14,7.35E+14,0.00E+00,,NO,NO
0.3333,2.53E-01,-4.25E+13,6.78E+14,0.00E+00,,NO,NO
0.3467,2.53E-01,3.90E+13,6.19E+14,0.00E+00,,NO,NO
0.36,2.53E-01,1.09E+14,5.58E+14,0.00E+00,,NO,NO
0.3733,2.53E-01,1.68E+14,4.98E+14,0.00E+00,,NO,NO
0.3867,2.53E-01,2.18E+14,4.37E+14,0.00E+00,,NO,NO
0.4,2.53E-01,2.60E+14,3.78E+14,0.00E+00,,NO,NO
0.4133,2.53E-01,2.95E+14,3.18E+14,0.00E+00,,NO,NO
0.4267,2.53E-01,3.23E+14,2.60E+14,0.00E+00,,NO,NO
0.44,2.53E-01,3.46E+14,2.02E+14,0.00E+00,,NO,NO
0.4533,2.53E-01,3.63E+14,1.45E+14,0.00E+00,,NO,NO
0.4667,2.53E-01,3.75E+14,8.85E+13,0.00E+00,,NO,NO
0.48,2.53E-01,3.82E+14,3.20E+13,0.00E+00,,NO,NO
0.4933,2.53E-01,3.85E+14,-2.45E+13,0.00E+00,,NO,NO
0.5067,2.53E-01,3.84E+14,-8.11E+13,0.00E+00,,NO,NO
0.52,2.53E-01,3.78E+14,-1.38E+14,0.00E+00,,NO,NO
0.5333,2.53E-01,3.67E+14,-1.96E+14,0.00E+00,,NO,NO
0.5467,2.53E-01,3.51E+14,-2.55E+14,0.00E+00,,NO,NO
0.56,2.53E-01,3.31E+14,-3.14E+14,0.00E+00,,NO,NO
0.5733,2.53E-01,3.04E+14,-3.75E+14,0.00E+00,,NO,NO
0.5867,2.53E-01,2.71E+14,-4.37E+14,0.00E+00,,NO,NO
0.6,2.53E-01,2.31E+14,-5.01E+14,0.00E+00,,NO,NO
0.6133,2.53E-01,1.83E+14,-5.65E+14,0.00E+00,,NO,NO
0.6267,2.53E-01,1.27E+14,-6.31E+14,0.00E+00,,NO,NO
0.64,2.53E-01,5.93E+13,-6.98E+14,0.00E+00,,NO,NO
0.6533,2.53E-01,-1.94E+13,-7.64E+14,0.00E+00,,NO,NO
0.6667,2.53E-01,-1.11E+14,-8.30E+14,0.00E+00,,NO,NO
0.68,2.53E-01,-2.18E+14,-8.93E+14,0.00E+00,,NO,NO
0.6933,2.53E-01,-3.40E+14,-9.54E+14,0.00E+00,,NO,NO
0.7067,2.53E-01,-4.82E+14,-1.01E+15,0.00E+00,,NO,NO
0.72,2.53E-01,-6.43E+14,-1.06E+15,0.00E+00,,NO,NO
0.7333,2.53E-01,-8.26E+14,-1.09E+15,0.00E+00,,NO,NO
0.7467,2.53E-01,-1.03E+15,-1.11E+15,0.00E+00,,NO,NO
0.76,2.53E-01,-1.26E+15,-1.11E+15,0.00E+00,,NO,NO
0.7733,2.53E-01,-1.52E+15,-1.08E+15,0.00E+00,,NO,NO
0.7867,2.53E-01,-1.80E+15,-1.01E+15,-1.46E-04,,NO,NO
0.8,2.53E-01,-2.09E+15,-9.05E+14,3.51E-04,,NO,NO
0.8133,2.53E-01,-2.41E+15,-7.46E+14,-2.97E-03,,NO,NO
0.8267,2.53E-01,-2.73E+15,-5.27E+14,5.68E-03,,NO,NO
0.84,2.53E-01,-3.05E+15,-2.37E+14,-2.56E-02,,NO,NO
0.8533,2.53E-01,-3.36E+15,1.29E+14,3.89E-02,,NO,NO
0.8667,2.53E-01,-3.63E+15,5.77E+14,-1.23E-01,,NO,NO
0.88,2.53E-01,-3.84E+15,1.11E+15,1.42E-01,,NO,NO
0.8933,2.53E-01,-3.96E+15,1.71E+15,-3.52E-01,,NO,NO
0.9067,2.53E-01,-3.98E+15,2.38E+15,2.79E-01,,NO,NO
0.92,2.53E-01,-3.86E+15,3.09E+15,-5.99E-01,,NO,NO
0.9333,2.53E-01,-3.58E+15,3.80E+15,1.93E-01,,NO,NO
0.9467,2.53E-01,-3.13E+15,4.48E+15,-5.27E-01,,NO,NO
0.96,2.53E-01,-2.53E+15,5.07E+15,-3.51E-01,,NO,NO
0.9733,2.53E-01,-1.78E+15,5.54E+15,-8.33E-02,,NO,NO
0.9867,2.53E-01,-9.16E+14,5.83E+15,-1.00E+00,,NO,-150.3
1,2.53E-01,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,2.67E-01,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,2.67E-01,-6.42E+14,-4.50E+15,6.41E-01,,-42.33,NO
0.02667,2.67E-01,-1.25E+15,-4.30E+15,2.14E-01,,NO,NO
0.04,2.67E-01,-1.78E+15,-3.98E+15,8.32E-02,,NO,NO
0.05333,2.67E-01,-2.23E+15,-3.58E+15,3.70E-01,,NO,NO
0.06667,2.67E-01,-2.57E+15,-3.11E+15,-2.09E-01,,NO,NO
0.08,2.67E-01,-2.79E+15,-2.61E+15,3.20E-01,,NO,NO
0.09333,2.67E-01,-2.91E+15,-2.10E+15,-1.85E-01,,NO,NO
0.1067,2.67E-01,-2.94E+15,-1.61E+15,1.61E-01,,NO,NO
0.12,2.67E-01,-2.88E+15,-1.16E+15,-7.77E-02,,NO,NO
0.1333,2.67E-01,-2.75E+15,-7.48E+14,4.96E-02,,NO,NO
0.1467,2.67E-01,-2.58E+15,-3.94E+14,-1.86E-02,,NO,NO
0.16,2.67E-01,-2.37E+15,-9.49E+13,9.44E-03,,NO,NO
0.1733,2.67E-01,-2.15E+15,1.50E+14,-2.47E-03,,NO,NO
0.1867,2.67E-01,-1.92E+15,3.44E+14,1.03E-03,,NO,NO
0.2,2.67E-01,-1.68E+15,4.92E+14,-1.45E-04,,NO,NO
0.2133,2.67E-01,-1.46E+15,6.00E+14,5.02E-05,,NO,NO
0.2267,2.67E-01,-1.24E+15,6.74E+14,0.00E+00,,NO,NO
0.24,2.67E-01,-1.04E+15,7.19E+14,0.00E+00,,NO,NO
0.2533,2.67E-01,-8.60E+14,7.40E+14,0.00E+00,,NO,NO
0.2667,2.67E-01,-6.93E+14,7.43E+14,0.00E+00,,NO,NO
0.28,2.67E-01,-5.43E+14,7.31E+14,0.00E+00,,NO,NO
0.2933,2.67E-01,-4.09E+14,7.07E+14,0.00E+00,,NO,NO
0.3067,2.67E-01,-2.91E+14,6.74E+14,0.00E+00,,NO,NO
0.32,2.67E-01,-1.86E+14,6.35E+14,0.00E+00,,NO,NO
0.3333,2.67E-01,-9.48E+13,5.91E+14,0.00E+00,,NO,NO
0.3467,2.67E-01,-1.54E+13,5.43E+14,0.00E+00,,NO,NO
0.36,2.67E-01,5.32E+13,4.94E+14,0.00E+00,,NO,NO
0.3733,2.67E-01,1.12E+14,4.43E+14,0.00E+00,,NO,NO
0.3867,2.67E-01,1.62E+14,3.91E+14,0.00E+00,,NO,NO
0.4,2.67E-01,2.05E+14,3.39E+14,0.00E+00,,NO,NO
0.4133,2.67E-01,2.40E+14,2.87E+14,0.00E+00,,NO,NO
0.4267,2.67E-01,2.68E+14,2.34E+14,0.00E+00,,NO,NO
0.44,2.67E-01,2.91E+14,1.82E+14,0.00E+00,,NO,NO
0.4533,2.67E-01,3.08E+14,1.30E+14,0.00E+00,,NO,NO
0.4667,2.67E-01,3.21E+14,7.86E+13,0.00E+00,,NO,NO
0.48,2.67E-01,3.28E+14,2.68E+13,0.00E+00,,NO,NO
0.4933,2.67E-01,3.31E+14,-2.51E+13,0.00E+00,,NO,NO
0.5067,2.67E-01,3.29E+14,-7.71E+13,0.00E+00,,NO,NO
0.52,2.67E-01,3.23E+14,-1.30E+14,0.00E+00,,NO,NO
0.5333,2.67E-01,3.11E+14,-1.83E+14,0.00E+00,,NO,NO
0.5467,2.67E-01,2.95E+14,-2.36E+14,0.00E+00,,NO,NO
0.56,2.67E-01,2.73E+14,-2.90E+14,0.00E+00,,NO,NO
0.5733,2.67E-01,2.46E+14,-3.45E+14,0.00E+00,,NO,NO
0.5867,2.67E-01,2.12E+14,-4.00E+14,0.00E+00,,NO,NO
0.6,2.67E-01,1.71E+14,-4.56E+14,0.00E+00,,NO,NO
0.6133,2.67E-01,1.23E+14,-5.12E+14,0.00E+00,,NO,NO
0.6267,2.67E-01,6.53E+13,-5.69E+14,0.00E+00,,NO,NO
0.64,2.67E-01,-1.66E+12,-6.25E+14,0.00E+00,,NO,NO
0.6533,2.67E-01,-7.94E+13,-6.79E+14,0.00E+00,,NO,NO
0.6667,2.67E-01,-1.69E+14,-7.32E+14,0.00E+00,,NO,NO
0.68,2.67E-01,-2.72E+14,-7.81E+14,0.00E+00,,NO,NO
0.6933,2.67E-01,-3.90E+14,-8.25E+14,0.00E+00,,NO,NO
0.7067,2.67E-01,-5.24E+14,-8.61E+14,0.00E+00,,NO,NO
0.72,2.67E-01,-6.74E+14,-8.89E+14,0.00E+00,,NO,NO
0.7333,2.67E-01,-8.43E+14,-9.03E+14,0.00E+00,,NO,NO
0.7467,2.67E-01,-1.03E+15,-9.01E+14,0.00E+00,,NO,NO
0.76,2.67E-01,-1.24E+15,-8.77E+14,0.00E+00,,NO,NO
0.7733,2.67E-01,-1.46E+15,-8.27E+14,0.00E+00,,NO,NO
0.7867,2.67E-01,-1.70E+15,-7.45E+14,-1.40E-04,,NO,NO
0.8,2.67E-01,-1.96E+15,-6.24E+14,3.28E-04,,NO,NO
0.8133,2.67E-01,-2.22E+15,-4.57E+14,-2.77E-03,,NO,NO
0.8267,2.67E-01,-2.48E+15,-2.39E+14,5.17E-03,,NO,NO
0.84,2.67E-01,-2.74E+15,3.66E+13,-2.34E-02,,NO,NO
0.8533,2.67E-01,-2.97E+15,3.74E+14,3.45E-02,,NO,NO
0.8667,2.67E-01,-3.16E+15,7.75E+14,-1.09E-01,,NO,NO
0.88,2.67E-01,-3.30E+15,1.24E+15,1.23E-01,,NO,NO
0.8933,2.67E-01,-3.37E+15,1.75E+15,-3.08E-01,,NO,NO
0.9067,2.67E-01,-3.34E+15,2.31E+15,2.34E-01,,NO,NO
0.92,2.67E-01,-3.21E+15,2.89E+15,-5.23E-01,,NO,NO
0.9333,2.67E-01,-2.95E+15,3.46E+15,1.52E-01,,NO,NO
0.9467,2.67E-01,-2.56E+15,3.99E+15,-4.81E-01,,NO,NO
0.96,2.67E-01,-2.05E+15,4.46E+15,-3.12E-01,,NO,NO
0.9733,2.67E-01,-1.43E+15,4.82E+15,-1.46E-01,,NO,NO
0.9867,2.67E-01,-7.36E+14,5.04E+15,-8.76E-01,,NO,-112.8
1,2.67E-01,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,2.80E-01,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,2.80E-01,-5.20E+14,-3.94E+15,5.86E-01,,-25.77,NO
0.02667,2.80E-01,-1.01E+15,-3.78E+15,2.53E-01,,NO,NO
0.04,2.80E-01,-1.46E+15,-3.54E+15,9.00E-02,,NO,NO
0.05333,2.80E-01,-1.83E+15,-3.22E+15,3.58E-01,,NO,NO
0.06667,2.80E-01,-2.12E+15,-2.84E+15,-1.71E-01,,NO,NO
0.08,2.80E-01,-2.33E+15,-2.44E+15,2.96E-01,,NO,NO
0.09333,2.80E-01,-2.45E+15,-2.02E+15,-1.59E-01,,NO,NO
0.1067,2.80E-01,-2.50E+15,-1.61E+15,1.49E-01,,NO,NO
0.12,2.80E-01,-2.47E+15,-1.22E+15,-6.88E-02,,NO,NO
0.1333,2.80E-01,-2.39E+15,-8.70E+14,4.66E-02,,NO,NO
0.1467,2.80E-01,-2.27E+15,-5.55E+14,-1.69E-02,,NO,NO
0.16,2.80E-01,-2.11E+15,-2.83E+14,9.06E-03,,NO,NO
0.1733,2.80E-01,-1.94E+15,-5.41E+13,-2.32E-03,,NO,NO
0.1867,2.80E-01,-1.75E+15,1.34E+14,1.01E-03,,NO,NO
0.2,2.80E-01,-1.55E+15,2.83E+14,-1.39E-04,,NO,NO
0.2133,2.80E-01,-1.36E+15,3.97E+14,5.02E-05,,NO,NO
0.2267,2.80E-01,-1.18E+15,4.81E+14,0.00E+00,,NO,NO
0.24,2.80E-01,-1.00E+15,5.39E+14,0.00E+00,,NO,NO
0.2533,2.80E-01,-8.41E+14,5.75E+14,0.00E+00,,NO,NO
0.2667,2.80E-01,-6.91E+14,5.92E+14,0.00E+00,,NO,NO
0.28,2.80E-01,-5.55E+14,5.95E+14,0.00E+00,,NO,NO
0.2933,2.80E-01,-4.31E+14,5.85E+14,0.00E+00,,NO,NO
0.3067,2.80E-01,-3.20E+14,5.66E+14,0.00E+00,,NO,NO
0.32,2.80E-01,-2.22E+14,5.39E+14,0.00E+00,,NO,NO
0.3333,2.80E-01,-1.35E+14,5.07E+14,0.00E+00,,NO,NO
0.3467,2.80E-01,-5.89E+13,4.71E+14,0.00E+00,,NO,NO
0.36,2.80E-01,7.45E+12,4.31E+14,0.00E+00,,NO,NO
0.3733,2.80E-01,6.48E+13,3.89E+14,0.00E+00,,NO,NO
0.3867,2.80E-01,1.14E+14,3.45E+14,0.00E+00,,NO,NO
0.4,2.80E-01,1.56E+14,3.00E+14,0.00E+00,,NO,NO
0.4133,2.80E-01,1.91E+14,2.55E+14,0.00E+00,,NO,NO
0.4267,2.80E-01,2.19E+14,2.09E+14,0.00E+00,,NO,NO
0.44,2.80E-01,2.42E+14,1.62E+14,0.00E+00,,NO,NO
0.4533,2.80E-01,2.59E+14,1.16E+14,0.00E+00,,NO,NO
0.4667,2.80E-01,2.71E+14,6.87E+13,0.00E+00,,NO,NO
0.48,2.80E-01,2.79E+14,2.18E+13,0.00E+00,,NO,NO
0.4933,2.80E-01,2.81E+14,-2.54E+13,0.00E+00,,NO,NO
0.5067,2.80E-01,2.79E+14,-7.28E+13,0.00E+00,,NO,NO
0.52,2.80E-01,2.72E+14,-1.21E+14,0.00E+00,,NO,NO
0.5333,2.80E-01,2.61E+14,-1.68E+14,0.00E+00,,NO,NO
0.5467,2.80E-01,2.44E+14,-2.17E+14,0.00E+00,,NO,NO
0.56,2.80E-01,2.22E+14,-2.65E+14,0.00E+00,,NO,NO
0.5733,2.80E-01,1.94E+14,-3.14E+14,0.00E+00,,NO,NO
0.5867,2.80E-01,1.60E+14,-3.63E+14,0.00E+00,,NO,NO
0.6,2.80E-01,1.19E+14,-4.11E+14,0.00E+00,,NO,NO
0.6133,2.80E-01,7.05E+13,-4.60E+14,0.00E+00,,NO,NO
0.6267,2.80E-01,1.38E+13,-5.07E+14,0.00E+00,,NO,NO
0.64,2.80E-01,-5.18E+13,-5.53E+14,0.00E+00,,NO,NO
0.6533,2.80E-01,-1.28E+14,-5.96E+14,0.00E+00,,NO,NO
0.6667,2.80E-01,-2.14E+14,-6.37E+14,0.00E+00,,NO,NO
0.68,2.80E-01,-3.12E+14,-6.73E+14,0.00E+00,,NO,NO
0.6933,2.80E-01,-4.24E+14,-7.02E+14,0.00E+00,,NO,NO
0.7067,2.80E-01,-5.49E+14,-7.24E+14,0.00E+00,,NO,NO
0.72,2.80E-01,-6.88E+14,-7.35E+14,0.00E+00,,NO,NO
0.7333,2.80E-01,-8.42E+14,-7.33E+14,0.00E+00,,NO,NO
0.7467,2.80E-01,-1.01E+15,-7.14E+14,0.00E+00,,NO,NO
0.76,2.80E-01,-1.19E+15,-6.75E+14,0.00E+00,,NO,NO
0.7733,2.80E-01,-1.39E+15,-6.10E+14,0.00E+00,,NO,NO
0.7867,2.80E-01,-1.60E+15,-5.16E+14,-1.33E-04,,NO,NO
0.8,2.80E-01,-1.81E+15,-3.88E+14,3.06E-04,,NO,NO
0.8133,2.80E-01,-2.03E+15,-2.21E+14,-2.58E-03,,NO,NO
0.8267,2.80E-01,-2.24E+15,-9.52E+12,4.71E-03,,NO,NO
0.84,2.80E-01,-2.44E+15,2.49E+14,-2.13E-02,,NO,NO
0.8533,2.80E-01,-2.62E+15,5.56E+14,3.07E-02,,NO,NO
0.8667,2.80E-01,-2.76E+15,9.12E+14,-9.81E-02,,NO,NO
0.88,2.80E-01,-2.85E+15,1.31E+15,1.07E-01,,NO,NO
0.8933,2.80E-01,-2.87E+15,1.75E+15,-2.73E-01,,NO,NO
0.9067,2.80E-01,-2.82E+15,2.22E+15,1.99E-01,,NO,NO
0.92,2.80E-01,-2.68E+15,2.69E+15,-4.64E-01,,NO,NO
0.9333,2.80E-01,-2.44E+15,3.15E+15,1.22E-01,,NO,NO
0.9467,2.80E-01,-2.10E+15,3.58E+15,-4.48E-01,,NO,NO
0.96,2.80E-01,-1.67E+15,3.94E+15,-2.79E-01,,NO,NO
0.9733,2.80E-01,-1.16E+15,4.23E+15,-1.96E-01,,NO,NO
0.9867,2.80E-01,-5.97E+14,4.40E+15,-7.79E-01,,NO,-83.7
1,2.80E-01,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,2.93E-01,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,2.93E-01,-4.25E+14,-3.49E+15,5.43E-01,,-12.78,NO
0.02667,2.93E-01,-8.30E+14,-3.36E+15,2.84E-01,,NO,NO
0.04,2.93E-01,-1.20E+15,-3.17E+15,9.47E-02,,NO,NO
0.05333,2.93E-01,-1.51E+15,-2.91E+15,3.49E-01,,NO,NO
0.06667,2.93E-01,-1.77E+15,-2.61E+15,-1.42E-01,,NO,NO
0.08,2.93E-01,-1.95E+15,-2.28E+15,2.78E-01,,NO,NO
0.09333,2.93E-01,-2.07E+15,-1.93E+15,-1.38E-01,,NO,NO
0.1067,2.93E-01,-2.13E+15,-1.59E+15,1.39E-01,,NO,NO
0.12,2.93E-01,-2.13E+15,-1.26E+15,-6.13E-02,,NO,NO
0.1333,2.93E-01,-2.08E+15,-9.53E+14,4.40E-02,,NO,NO
0.1467,2.93E-01,-1.99E+15,-6.75E+14,-1.55E-02,,NO,NO
0.16,2.93E-01,-1.87E+15,-4.29E+14,8.73E-03,,NO,NO
0.1733,2.93E-01,-1.73E+15,-2.17E+14,-2.17E-03,,NO,NO
0.1867,2.93E-01,-1.58E+15,-3.81E+13,9.94E-04,,NO,NO
0.2,2.93E-01,-1.42E+15,1.08E+14,-1.33E-04,,NO,NO
0.2133,2.93E-01,-1.26E+15,2.25E+14,5.02E-05,,NO,NO
0.2267,2.93E-01,-1.11E+15,3.15E+14,0.00E+00,,NO,NO
0.24,2.93E-01,-9.54E+14,3.81E+14,0.00E+00,,NO,NO
0.2533,2.93E-01,-8.10E+14,4.27E+14,0.00E+00,,NO,NO
0.2667,2.93E-01,-6.76E+14,4.56E+14,0.00E+00,,NO,NO
0.28,2.93E-01,-5.53E+14,4.70E+14,0.00E+00,,NO,NO
0.2933,2.93E-01,-4.40E+14,4.73E+14,0.00E+00,,NO,NO
0.3067,2.93E-01,-3.38E+14,4.65E+14,0.00E+00,,NO,NO
0.32,2.93E-01,-2.47E+14,4.50E+14,0.00E+00,,NO,NO
0.3333,2.93E-01,-1.65E+14,4.28E+14,0.00E+00,,NO,NO
0.3467,2.93E-01,-9.27E+13,4.01E+14,0.00E+00,,NO,NO
0.36,2.93E-01,-2.93E+13,3.70E+14,0.00E+00,,NO,NO
0.3733,2.93E-01,2.58E+13,3.36E+14,0.00E+00,,NO,NO
0.3867,2.93E-01,7.33E+13,3.00E+14,0.00E+00,,NO,NO
0.4,2.93E-01,1.14E+14,2.62E+14,0.00E+00,,NO,NO
0.4133,2.93E-01,1.48E+14,2.23E+14,0.00E+00,,NO,NO
0.4267,2.93E-01,1.76E+14,1.83E+14,0.00E+00,,NO,NO
0.44,2.93E-01,1.98E+14,1.42E+14,0.00E+00,,NO,NO
0.4533,2.93E-01,2.15E+14,1.01E+14,0.00E+00,,NO,NO
0.4667,2.93E-01,2.27E+14,5.91E+13,0.00E+00,,NO,NO
0.48,2.93E-01,2.34E+14,1.69E+13,0.00E+00,,NO,NO
0.4933,2.93E-01,2.36E+14,-2.55E+13,0.00E+00,,NO,NO
0.5067,2.93E-01,2.34E+14,-6.82E+13,0.00E+00,,NO,NO
0.52,2.93E-01,2.27E+14,-1.11E+14,0.00E+00,,NO,NO
0.5333,2.93E-01,2.15E+14,-1.54E+14,0.00E+00,,NO,NO
0.5467,2.93E-01,1.98E+14,-1.97E+14,0.00E+00,,NO,NO
0.56,2.93E-01,1.76E+14,-2.40E+14,0.00E+00,,NO,NO
0.5733,2.93E-01,1.48E+14,-2.83E+14,0.00E+00,,NO,NO
0.5867,2.93E-01,1.14E+14,-3.25E+14,0.00E+00,,NO,NO
0.6,2.93E-01,7.40E+13,-3.67E+14,0.00E+00,,NO,NO
0.6133,2.93E-01,2.65E+13,-4.07E+14,0.00E+00,,NO,NO
0.6267,2.93E-01,-2.86E+13,-4.46E+14,0.00E+00,,NO,NO
0.64,2.93E-01,-9.21E+13,-4.83E+14,0.00E+00,,NO,NO
0.6533,2.93E-01,-1.65E+14,-5.17E+14,0.00E+00,,NO,NO
0.6667,2.93E-01,-2.47E+14,-5.47E+14,0.00E+00,,NO,NO
0.68,2.93E-01,-3.40E+14,-5.71E+14,0.00E+00,,NO,NO
0.6933,2.93E-01,-4.44E+14,-5.88E+14,0.00E+00,,NO,NO
0.7067,2.93E-01,-5.59E+14,-5.97E+14,0.00E+00,,NO,NO
0.72,2.93E-01,-6.86E+14,-5.95E+14,0.00E+00,,NO,NO
0.7333,2.93E-01,-8.26E+14,-5.80E+14,0.00E+00,,NO,NO
0.7467,2.93E-01,-9.77E+14,-5.48E+14,0.00E+00,,NO,NO
0.76,2.93E-01,-1.14E+15,-4.97E+14,0.00E+00,,NO,NO
0.7733,2.93E-01,-1.31E+15,-4.23E+14,0.00E+00,,NO,NO
0.7867,2.93E-01,-1.49E+15,-3.23E+14,-1.27E-04,,NO,NO
0.8,2.93E-01,-1.67E+15,-1.92E+14,2.84E-04,,NO,NO
0.8133,2.93E-01,-1.85E+15,-2.76E+13,-2.41E-03,,NO,NO
0.8267,2.93E-01,-2.02E+15,1.73E+14,4.29E-03,,NO,NO
0.84,2.93E-01,-2.17E+15,4.12E+14,-1.95E-02,,NO,NO
0.8533,2.93E-01,-2.30E+15,6.90E+14,2.74E-02,,NO,NO
0.8667,2.93E-01,-2.40E+15,1.00E+15,-8.85E-02,,NO,NO
0.88,2.93E-01,-2.46E+15,1.35E+15,9.35E-02,,NO,NO
0.8933,2.93E-01,-2.45E+15,1.73E+15,-2.44E-01,,NO,NO
0.9067,2.93E-01,-2.39E+15,2.12E+15,1.70E-01,,NO,NO
0.92,2.93E-01,-2.25E+15,2.51E+15,-4.17E-01,,NO,NO
0.9333,2.93E-01,-2.03E+15,2.88E+15,9.94E-02,,NO,NO
0.9467,2.93E-01,-1.74E+15,3.23E+15,-4.22E-01,,NO,NO
0.96,2.93E-01,-1.38E+15,3.52E+15,-2.52E-01,,NO,NO
0.9733,2.93E-01,-9.54E+14,3.74E+15,-2.36E-01,,NO,NO
0.9867,2.93E-01,-4.88E+14,3.88E+15,-7.03E-01,,NO,-60.87
1,2.93E-01,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,3.07E-01,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,3.07E-01,-3.49E+14,-3.11E+15,5.08E-01,,-2.49,NO
0.02667,3.07E-01,-6.84E+14,-3.01E+15,3.09E-01,,NO,NO
0.04,3.07E-01,-9.90E+14,-2.86E+15,9.79E-02,,NO,NO
0.05333,3.07E-01,-1.26E+15,-2.65E+15,3.43E-01,,NO,NO
0.06667,3.07E-01,-1.47E+15,-2.40E+15,-1.19E-01,,NO,NO
0.08,3.07E-01,-1.64E+15,-2.13E+15,2.63E-01,,NO,NO
0.09333,3.07E-01,-1.75E+15,-1.84E+15,-1.21E-01,,NO,NO
0.1067,3.07E-01,-1.82E+15,-1.56E+15,1.31E-01,,NO,NO
0.12,3.07E-01,-1.83E+15,-1.27E+15,-5.50E-02,,NO,NO
0.1333,3.07E-01,-1.80E+15,-1.01E+15,4.18E-02,,NO,NO
0.1467,3.07E-01,-1.74E+15,-7.61E+14,-1.42E-02,,NO,NO
0.16,3.07E-01,-1.65E+15,-5.40E+14,8.42E-03,,NO,NO
0.1733,3.07E-01,-1.55E+15,-3.45E+14,-2.04E-03,,NO,NO
0.1867,3.07E-01,-1.42E+15,-1.78E+14,9.77E-04,,NO,NO
0.2,3.07E-01,-1.29E+15,-3.66E+13,-1.28E-04,,NO,NO
0.2133,3.07E-01,-1.16E+15,7.93E+13,5.02E-05,,NO,NO
0.2267,3.07E-01,-1.03E+15,1.72E+14,0.00E+00,,NO,NO
0.24,3.07E-01,-8.95E+14,2.44E+14,0.00E+00,,NO,NO
0.2533,3.07E-01,-7.69E+14,2.97E+14,0.00E+00,,NO,NO
0.2667,3.07E-01,-6.51E+14,3.35E+14,0.00E+00,,NO,NO
0.28,3.07E-01,-5.40E+14,3.58E+14,0.00E+00,,NO,NO
0.2933,3.07E-01,-4.39E+14,3.70E+14,0.00E+00,,NO,NO
0.3067,3.07E-01,-3.45E+14,3.72E+14,0.00E+00,,NO,NO
0.32,3.07E-01,-2.61E+14,3.66E+14,0.00E+00,,NO,NO
0.3333,3.07E-01,-1.85E+14,3.53E+14,0.00E+00,,NO,NO
0.3467,3.07E-01,-1.18E+14,3.35E+14,0.00E+00,,NO,NO
0.36,3.07E-01,-5.79E+13,3.12E+14,0.00E+00,,NO,NO
0.3733,3.07E-01,-5.65E+12,2.86E+14,0.00E+00,,NO,NO
0.3867,3.07E-01,3.96E+13,2.57E+14,0.00E+00,,NO,NO
0.4,3.07E-01,7.84E+13,2.26E+14,0.00E+00,,NO,NO
0.4133,3.07E-01,1.11E+14,1.93E+14,0.00E+00,,NO,NO
0.4267,3.07E-01,1.38E+14,1.58E+14,0.00E+00,,NO,NO
0.44,3.07E-01,1.59E+14,1.23E+14,0.00E+00,,NO,NO
0.4533,3.07E-01,1.76E+14,8.66E+13,0.00E+00,,NO,NO
0.4667,3.07E-01,1.87E+14,4.97E+13,0.00E+00,,NO,NO
0.48,3.07E-01,1.94E+14,1.23E+13,0.00E+00,,NO,NO
0.4933,3.07E-01,1.96E+14,-2.55E+13,0.00E+00,,NO,NO
0.5067,3.07E-01,1.94E+14,-6.34E+13,0.00E+00,,NO,NO
0.52,3.07E-01,1.87E+14,-1.02E+14,0.00E+00,,NO,NO
0.5333,3.07E-01,1.75E+14,-1.40E+14,0.00E+00,,NO,NO
0.5467,3.07E-01,1.58E+14,-1.78E+14,0.00E+00,,NO,NO
0.56,3.07E-01,1.36E+14,-2.15E+14,0.00E+00,,NO,NO
0.5733,3.07E-01,1.09E+14,-2.52E+14,0.00E+00,,NO,NO
0.5867,3.07E-01,7.54E+13,-2.88E+14,0.00E+00,,NO,NO
0.6,3.07E-01,3.62E+13,-3.24E+14,0.00E+00,,NO,NO
0.6133,3.07E-01,-9.70E+12,-3.57E+14,0.00E+00,,NO,NO
