 VARIABLES = "X", "Y", "U", "V", "T"
 ZONE I= 21, J= 21, F=POINT 
   0.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    0.000E+00,    0.000E+00,    0.000E+00,    1.836E-01
   1.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.020E-02
   1.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.681E-01
   2.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.356E-01
   2.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.717E-01
   3.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.926E-01
   3.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.064E-01
   4.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.170E-01
   4.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.264E-01
   5.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.355E-01
   5.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.449E-01
   6.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.549E-01
   6.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.658E-01
   7.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.778E-01
   7.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.913E-01
   8.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.069E-01
   8.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.253E-01
   9.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.470E-01
   9.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.723E-01
   1.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,   -5.000E-01
   0.000E+00,    5.000E-02,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    5.000E-02,   -1.050E+01,    7.635E+00,    1.809E-01
   1.000E-01,    5.000E-02,   -1.788E+01,    3.045E+00,   -4.463E-02
   1.500E-01,    5.000E-02,   -2.038E+01,   -2.964E-01,   -1.721E-01
   2.000E-01,    5.000E-02,   -2.033E+01,   -1.362E+00,   -2.378E-01
   2.500E-01,    5.000E-02,   -1.960E+01,   -1.229E+00,   -2.722E-01
   3.000E-01,    5.000E-02,   -1.905E+01,   -7.064E-01,   -2.919E-01
   3.500E-01,    5.000E-02,   -1.898E+01,   -1.356E-01,   -3.049E-01
   4.000E-01,    5.000E-02,   -1.944E+01,    3.750E-01,   -3.148E-01
   4.500E-01,    5.000E-02,   -2.037E+01,    8.042E-01,   -3.236E-01
   5.000E-01,    5.000E-02,   -2.169E+01,    1.141E+00,   -3.321E-01
   5.500E-01,    5.000E-02,   -2.322E+01,    1.343E+00,   -3.408E-01
   6.000E-01,    5.000E-02,   -2.471E+01,    1.329E+00,   -3.500E-01
