 VARIABLES = "X", "Y", "U", "V", "T"
 ZONE I= 21, J= 21, F=POINT 
   0.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    0.000E+00,    0.000E+00,    0.000E+00,    3.478E-01
   1.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,    2.059E-01
   1.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,    8.264E-02
   2.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.768E-02
   2.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -9.581E-02
   3.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.552E-01
   3.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.001E-01
   4.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.346E-01
   4.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.620E-01
   5.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.847E-01
   5.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.048E-01
   6.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.235E-01
   6.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.419E-01
   7.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.607E-01
   7.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.804E-01
   8.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.013E-01
   8.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.238E-01
   9.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.479E-01
   9.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.735E-01
   1.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,   -5.000E-01
   0.000E+00,    5.000E-02,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    5.000E-02,   -1.276E+00,    1.136E+00,    3.464E-01
   1.000E-01,    5.000E-02,   -3.086E+00,    1.133E+00,    2.031E-01
   1.500E-01,    5.000E-02,   -4.613E+00,    7.883E-01,    7.899E-02
   2.000E-01,    5.000E-02,   -5.682E+00,    4.597E-01,   -2.146E-02
   2.500E-01,    5.000E-02,   -6.369E+00,    2.448E-01,   -9.907E-02
   3.000E-01,    5.000E-02,   -6.806E+00,    1.354E-01,   -1.576E-01
   3.500E-01,    5.000E-02,   -7.098E+00,    9.267E-02,   -2.015E-01
   4.000E-01,    5.000E-02,   -7.308E+00,    7.858E-02,   -2.351E-01
   4.500E-01,    5.000E-02,   -7.452E+00,    6.415E-02,   -2.617E-01
   5.000E-01,    5.000E-02,   -7.519E+00,    2.955E-02,   -2.838E-01
   5.500E-01,    5.000E-02,   -7.474E+00,   -3.949E-02,   -3.033E-01
   6.000E-01,    5.000E-02,   -7.267E+00,   -1.505E-01,   -3.216E-01
